# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	rRNA	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	852	2402	+							MAGCAS_1	1551		
rRNA		GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	852	2402	+				16S ribosomal RNA			MAGCAS_1	1551		
gene	rRNA	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	2872	5583	+							MAGCAS_2	2712		
rRNA		GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	2872	5583	+				23S ribosomal RNA			MAGCAS_2	2712		
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	10775	11233	+					ribC		MAGCAS_3	459		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	10775	11233	+	PIM95162.1			Riboflavin synthase alpha chain	ribC		MAGCAS_3	459	152	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	11712	12890	+					metC		MAGCAS_4	1179		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	11712	12890	+	PIM95163.1			cystathionine beta-lyase	metC		MAGCAS_4	1179	392	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	15612	15845	-							MAGCAS_5	234		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	15612	15845	-	PIM95164.1			hypothetical protein			MAGCAS_5	234	77	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	20833	22053	+					rpoD		MAGCAS_6	1221		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	20833	22053	+	PIM95165.1			RNA polymerase sigma factor rpoD	rpoD		MAGCAS_6	1221	406	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	25983	26651	+					sufC		MAGCAS_7	669		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	25983	26651	+	PIM95166.1			FeS assembly ATPase SufC	sufC		MAGCAS_7	669	222	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	26931	28202	+					sufS		MAGCAS_8	1272		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	26931	28202	+	PIM95167.1			Cysteine desulfurase	sufS		MAGCAS_8	1272	423	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	28235	32005	+					rpoB		MAGCAS_9	3771		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	28235	32005	+	PIM95168.1			DNA-directed RNA polymerase subunit beta	rpoB		MAGCAS_9	3771	1256	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	32009	35980	+					rpoC		MAGCAS_10	3972		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	32009	35980	+	PIM95169.1			DNA-directed RNA polymerase subunit beta'	rpoC		MAGCAS_10	3972	1323	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	37352	38227	+					fpr		MAGCAS_11	876		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	37352	38227	+	PIM95170.1			Ferredoxin--NADP reductase	fpr		MAGCAS_11	876	291	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	38524	39570	+					cysK		MAGCAS_12	1047		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	38524	39570	+	PIM95171.1			Cysteine synthase	cysK		MAGCAS_12	1047	348	
gene	tRNA	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	40472	40545	+					tRNA-Trp		MAGCAS_13	74		
tRNA		GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	40472	40545	+				tRNA-Trp	tRNA-Trp		MAGCAS_13	74		
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	40580	41041	+					rplK		MAGCAS_14	462		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	40580	41041	+	PIM95172.1			50S ribosomal subunit protein L11	rplK		MAGCAS_14	462	153	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	41025	41546	+					rplJ		MAGCAS_15	522		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	41025	41546	+	PIM95173.1			50S ribosomal protein L10	rplJ		MAGCAS_15	522	173	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	50416	50886	+					rluA		MAGCAS_16	471		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	50416	50886	+	PIM95174.1			pseudouridine synthase, RluA family	rluA		MAGCAS_16	471	156	
gene	protein_coding	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	52450	53484	-					cobL		MAGCAS_17	1035		
CDS	with_protein	GCA_002762255.1	Primary Assembly	chromosome	variant1	CM008567.1	52450	53484	-	PIM95175.1			Precorrin-6Y C5,15-methyltransferase	cobL		MAGCAS_17	1035	344	
